	Disease	Major category	Subcategory	Inheritance	OMIM	Gene	UpdatedGene	GeneID	Associated features	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	KEGG_drug	KEGG_pathway	HPOs
CD3d deficiency_CD3D_AR	CD3d deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	AR	186790	CD3D	CD3D	915	nan	Very low	Normal	Low	Normal	No g/d T cells	['Antithymocyte immunoglobulin (rabbit): D09190<JP/US>', 'Blinatumomab: D09325<JP/US>', 'Catumaxomab: D09207', 'Flotetuzumab: D11306', 'Muromonab-CD3: D05092', 'Otelixizumab: D08959', 'Tebentafusp: D12296<US>', 'Teplizumab: D09013', 'Visilizumab: D06314']	['hsa04640  Hematopoietic cell lineage', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04660  T cell receptor signaling pathway', 'hsa05142  Chagas disease', 'hsa05162  Measles', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05340  Primary immunodeficiency']	['HP:0005403', 'HP:0000007', 'HP:0002715', 'HP:0004313']
CD3e deficiency_CD3E_AR	CD3e deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	AR	186830	CD3E	CD3E	916	nan	Very low	Normal	Low	Normal	No g/d T cells	['Acapatamab: D12121', 'Antithymocyte immunoglobulin (rabbit): D09190<JP/US>', 'Blinatumomab: D09325<JP/US>', 'Catumaxomab: D09207', 'Cevostamab: D11984', 'Cibisatamab: D11489', 'Duvortuxizumab: D11372', 'Elranatamab: D12058', 'Epcoritamab: D12368', 'Flotetuzumab: D11306', 'Glofitamab: D11833', 'Mosunetuzumab: D11463', 'Muromonab-CD3: D05092', 'Odronextamab: D11534', 'Otelixizumab: D08959', 'Pavurutamab: D11992', 'Plamotamab: D11686', 'Runimotamab: D12236', 'Talquetamab: D12180', 'Tarlatamab: D12234', 'Tebentafusp: D12296<US>', 'Teclistamab: D12177<US>', 'Teplizumab: D09013', 'Tidutamab: D11845', 'Ubamatamab: D12007', 'Vibecotamab: D11841', 'Visilizumab: D06314']	['hsa04640  Hematopoietic cell lineage', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04660  T cell receptor signaling pathway', 'hsa05142  Chagas disease', 'hsa05162  Measles', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05340  Primary immunodeficiency']	['HP:0005403', 'HP:0000007', 'HP:0002715', 'HP:0004313']
CD3z deficiency_CD247_AR	CD3z deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	AR	 186780	CD3Z	CD247	919	nan	Very low	Normal	Low	Normal	No g/d T cells	[]	['hsa04650  Natural killer cell mediated cytotoxicity', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04660  T cell receptor signaling pathway', 'hsa05142  Chagas disease', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer']	['HP:0005403', 'HP:0000007', 'HP:0002715', 'HP:0004313']
Coronin-1A deficiency_CORO1A_AR	Coronin-1A deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	AR	605000	CORO1A	CORO1A	11151	Detectable thymus, EBV	Very low	Normal	Low	Normal	nan	[]	['hsa04145  Phagosome', 'hsa05152  Tuberculosis']	['HP:0005403', 'HP:0000007', 'HP:0002715', 'HP:0004313']
gc deficiency (common gamma chain SCID, CD132 deficiency)_IL2RG_XL	gc deficiency (common gamma chain SCID, CD132 deficiency)	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	XL	308380	IL2RG	IL2RG	3561	nan	Very low	Normal to high	Low	Normal	Low NK	['Aldesleukin: D00748<US>', 'Celmoleukin: D02743', 'Rezpegaldesleukin: D12328', 'Teceleukin: D02749<JP>']	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04061  Viral protein interaction with cytokine and cytokine receptor', 'hsa04144  Endocytosis', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04630  JAK-STAT signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa05162  Measles', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05200  Pathways in cancer', 'hsa05321  Inflammatory bowel disease', 'hsa05340  Primary immunodeficiency']	['HP:0002715', 'HP:0005404', 'HP:0004313', 'HP:0001417', 'HP:0005403']
IL7Ra deficiency_IL7R_AR	IL7Ra deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	AR	146661	IL7R	IL7R	3575	nan	Very low	Normal to high	Low	Normal	nan	['Lusvertikimab: D12479']	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04068  FoxO signaling pathway', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04630  JAK-STAT signaling pathway', 'hsa04640  Hematopoietic cell lineage', 'hsa05200  Pathways in cancer', 'hsa05340  Primary immunodeficiency']	['HP:0002715', 'HP:0005404', 'HP:0000007', 'HP:0004313', 'HP:0005403']
ITPKB deficiency_ITPKB_AR	ITPKB deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	AR		ITPKB	ITPKB	3707	FTT	Very low	Normal	Low	Normal to low	Low Hb, low platelets, low neutrophils	[]	['hsa00562  Inositol phosphate metabolism', 'hsa01100  Metabolic pathways', 'hsa04020  Calcium signaling pathway', 'hsa04070  Phosphatidylinositol signaling system']	['HP:0001508', 'HP:0002715', 'HP:0000007', 'HP:0001875', 'HP:0004313', 'HP:0005403']
JAK3 deficiency_JAK3_AR	JAK3 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	AR	600173	JAK3	JAK3	3718	nan	Very low	Normal to high	Low	Normal	Low NK	['Decernotinib: D10585', 'Delgocitinib: D11046<JP>', 'Filgotinib (DG01991): D11106<JP>', 'Gusacitinib (DG03080): D11676 D11677', 'Nezulcitinib: D12118', 'Peficitinib (DG01853): D10653 D10721<JP>', 'Ritlecitinib tosilate: D11970', 'Tofacitinib (DG00742): D09783<JP/US> D09970', 'Tuspetinib: D12476']	['hsa04062  Chemokine signaling pathway', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04217  Necroptosis', 'hsa04550  Signaling pathways regulating pluripotency of stem cells', 'hsa04630  JAK-STAT signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05200  Pathways in cancer', 'hsa05203  Viral carcinogenesis', 'hsa05223  Non-small cell lung cancer', 'hsa05340  Primary immunodeficiency']	['HP:0002715', 'HP:0005404', 'HP:0000007', 'HP:0004313', 'HP:0005403']
LAT deficiency_LAT_AR	LAT deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	AR	602354	LAT	LAT	27040	Adenopathy, splenomegaly, recurrent infections, autoimmunity	Nl to low number	Nl to low	High	Normal	nan	[]	['hsa04014  Ras signaling pathway', 'hsa04015  Rap1 signaling pathway', 'hsa04064  NF-kappa B signaling pathway', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04660  T cell receptor signaling pathway', 'hsa04664  Fc epsilon RI signaling pathway', 'hsa04666  Fc gamma R-mediated phagocytosis', 'hsa05135  Yersinia infection', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer']	['HP:0010702', 'HP:0002715', 'HP:0002960', 'HP:0002719', 'HP:0000007', 'HP:0005403', 'HP:0001744']
PAX1 deficiency_PAX1_AR	PAX1 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	AR		PAX1	PAX1	5075	Athymia, otofaciocervical syndrome	Very low	Normal	Low	Normal	nan	[]	[]	['HP:0002715', 'HP:0000007', 'HP:0005359', 'HP:0004313', 'HP:0005403']
CD45 deficiency_PTPRC_AR	CD45 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	AR	151460	PTPRC	PTPRC	5788	nan	Very low	Normal	Low	Normal	nan	[]	['hsa04514  Cell adhesion molecules', 'hsa04660  T cell receptor signaling pathway', 'hsa04666  Fc gamma R-mediated phagocytosis', 'hsa05132  Salmonella infection', 'hsa05340  Primary immunodeficiency']	['HP:0005403', 'HP:0000007', 'HP:0002715', 'HP:0004313']
SLP76 deficiency_LCP2_AR	SLP76 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	AR		SLP76	LCP2	3937	nan	Low T cells- mainly TEMRA and oligoconal	Normal	Low	Normal but dysfunctional	Reduced NK degranulation, platelet dysfunction	[]	['hsa04015  Rap1 signaling pathway', 'hsa04380  Osteoclast differentiation', 'hsa04611  Platelet activation', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa04660  T cell receptor signaling pathway', 'hsa04664  Fc epsilon RI signaling pathway', 'hsa05135  Yersinia infection']	['HP:0002715', 'HP:0000007', 'HP:0004313', 'HP:0005403', 'HP:0011993']
Adenosine deaminase (ADA) deficiency_ADA_AR	Adenosine deaminase (ADA) deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	AR	608958	ADA	ADA	100	Low NK, bone defects, may have pulmonary alveolar proteinosis, cognitive defects	Very low	Low, decreasing	Low	Normal	Low NK	['Elapegademase: D11017<JP/US>', 'Pentostatin: D00155<JP/US>']	['hsa00230  Purine metabolism', 'hsa01100  Metabolic pathways', 'hsa01232  Nucleotide metabolism', 'hsa05340  Primary immunodeficiency']	['HP:0006517', 'HP:0002715', 'HP:0000007', 'HP:0004313', 'HP:0005403', 'HP:0100543']
Reticular dysgenesis_AK2_AR	Reticular dysgenesis	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	AR	103020	AK2	AK2	204	Deafness	Very low	Nl to low	Low	Low	nan	[]	['hsa00230  Purine metabolism', 'hsa00730  Thiamine metabolism', 'hsa01100  Metabolic pathways', 'hsa01232  Nucleotide metabolism', 'hsa01240  Biosynthesis of cofactors']	['HP:0002715', 'HP:0000365', 'HP:0000007', 'HP:0001875', 'HP:0004313', 'HP:0005403']
DCLRE1C (Artemis) deficiency_DCLRE1C_AR	DCLRE1C (Artemis) deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	AR	605988	DCLRE1C	DCLRE1C	64421	Radiation sensitive	Very low	Very low	Low	Normal	nan	[]	['hsa03450  Non-homologous end-joining', 'hsa05340  Primary immunodeficiency']	['HP:0002715', 'HP:0005365', 'HP:0000007', 'HP:0011133', 'HP:0004313', 'HP:0005403']
DNA ligase IV deficiency_LIG4_AR	DNA ligase IV deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	AR	601837	LIG4	LIG4	3981	Radiation sensitive, microcephaly	Very low	Very low	Low	Normal	nan	[]	['hsa03450  Non-homologous end-joining']	['HP:0002715', 'HP:0005365', 'HP:0000007', 'HP:0000252', 'HP:0011133', 'HP:0004313', 'HP:0005403']
Cernunnos/XLF deficiency_NHEJ1_AR	Cernunnos/XLF deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	AR	611290	NHEJ1	NHEJ1	79840	Radiation sensitive, microcephaly	Very low	Very low	Low	Normal	nan	[]	['hsa03450  Non-homologous end-joining']	['HP:0002715', 'HP:0005365', 'HP:0000007', 'HP:0000252', 'HP:0011133', 'HP:0004313', 'HP:0005403']
DNA PKcs deficiency_PRKDC_AR	DNA PKcs deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	AR	176977	PRKDC	PRKDC	5591	Radiation sensitive	Very low	Very low	Variable	Normal	nan	[]	['hsa03450  Non-homologous end-joining', 'hsa04110  Cell cycle']	['HP:0002715', 'HP:0005365', 'HP:0000007', 'HP:0011133', 'HP:0005403']
Activated RAC2 defect_RAC2_AD GOF	Activated RAC2 defect	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	AD GOF	602049	RAC2	RAC2	5880	Reticular dysgenesis	Very low	Very low	Low	Low	nan	[]	['hsa04010  MAPK signaling pathway', 'hsa04014  Ras signaling pathway', 'hsa04015  Rap1 signaling pathway', 'hsa04024  cAMP signaling pathway', 'hsa04062  Chemokine signaling pathway', 'hsa04071  Sphingolipid signaling pathway', 'hsa04310  Wnt signaling pathway', 'hsa04360  Axon guidance', 'hsa04370  VEGF signaling pathway', 'hsa04510  Focal adhesion', 'hsa04520  Adherens junction', 'hsa04613  Neutrophil extracellular trap formation', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa04662  B cell receptor signaling pathway', 'hsa04664  Fc epsilon RI signaling pathway', 'hsa04666  Fc gamma R-mediated phagocytosis', 'hsa04670  Leukocyte transendothelial migration', 'hsa04810  Regulation of actin cytoskeleton', 'hsa05020  Prion disease', 'hsa05135  Yersinia infection', 'hsa05163  Human cytomegalovirus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05200  Pathways in cancer', 'hsa05210  Colorectal cancer', 'hsa05212  Pancreatic cancer', 'hsa05231  Choline metabolism in cancer', 'hsa05415  Diabetic cardiomyopathy', 'hsa05416  Viral myocarditis', 'hsa05418  Fluid shear stress and atherosclerosis']	['HP:0000006', 'HP:0002715', 'HP:0005365', 'HP:0001875', 'HP:0004313', 'HP:0005403']
RAG1 deficiency_RAG1_AR	RAG1 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	AR	179615	RAG1	RAG1	5896	nan	Very low	Very low	Low	Normal	nan	[]	['hsa04068  FoxO signaling pathway', 'hsa05340  Primary immunodeficiency']	['HP:0002715', 'HP:0005365', 'HP:0000007', 'HP:0004313', 'HP:0005403']
RAG2 deficiency_RAG2_AR	RAG2 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	AR	179616	RAG2	RAG2	5897	nan	Very low	Very low	Low	Normal	nan	[]	['hsa04068  FoxO signaling pathway', 'hsa05340  Primary immunodeficiency']	['HP:0002715', 'HP:0005365', 'HP:0000007', 'HP:0004313', 'HP:0005403']
MHC class I deficiency_B2M_AR	MHC class I deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	109700	B2M	B2M	567	Sinopulmonary infections, cutaneous granulomas. Absent β2m associated proteins MHC-I, CD1a, CD1b, CD1c	Low CD8, Nl CD4, absent MHC I on lymphocytes	Normal	Normal	nan	nan	[]	['hsa04612  Antigen processing and presentation', 'hsa05163  Human cytomegalovirus infection', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection']	['HP:0002715', 'HP:0000007', 'HP:0005415', 'HP:0032252', 'HP:0005403']
BCL10 deficiency_BCL10_AR	BCL10 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	616098	BCL10	BCL10	8915	Recurrent bacterial and viral infections, candidiasis, gastroenteritis	Nl number, low memory T and Treg cells, poor antigen and anti-CD3 proliferation	Nl number, decreased memory and switched B cells	nan	nan	nan	[]	['hsa04064  NF-kappa B signaling pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04660  T cell receptor signaling pathway', 'hsa04662  B cell receptor signaling pathway', 'hsa05131  Shigellosis', 'hsa05152  Tuberculosis']	['HP:0005403', 'HP:0000007', 'HP:0002715']
CARD11 deficiency (LOF)_CARD11_AR	CARD11 deficiency (LOF)	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	615206	CARD11	CARD11	84433	Pneumocystis jirovecii pneumonia, bacterial and viral infections	Nl number, predominant naïve T-cells, poor proliferation	Normal, transitional B cell predominance	nan	nan	nan	[]	['hsa04064  NF-kappa B signaling pathway', 'hsa04660  T cell receptor signaling pathway', 'hsa04662  B cell receptor signaling pathway']	['HP:0002715', 'HP:0000007', 'HP:0002090', 'HP:0020102', 'HP:0005403']
CD3g deficiency_CD3G_AR	CD3g deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	186740	CD3G	CD3G	917	nan	Nl number, but low TCR expression	Normal	Nl	nan	nan	['Antithymocyte immunoglobulin (rabbit): D09190<JP/US>', 'Blinatumomab: D09325<JP/US>', 'Catumaxomab: D09207', 'Flotetuzumab: D11306', 'Muromonab-CD3: D05092', 'Otelixizumab: D08959', 'Tebentafusp: D12296<US>', 'Teplizumab: D09013', 'Visilizumab: D06314']	['hsa04640  Hematopoietic cell lineage', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04660  T cell receptor signaling pathway', 'hsa05142  Chagas disease', 'hsa05162  Measles', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer']	['HP:0005403', 'HP:0000007', 'HP:0002715']
